name,approved,rejected,returned,timed-out,total,comment
lv-suppress-1.0,130,0,20,0,150
lv-suppress-1.1,49,1,7,3,60
lv-suppress-1.2,50,0,26,1,77
lv-button_press_both-1,125,0,23,2,150
lv-button_press_both-1.1,21,0,3,0,24
lv-button_press_both-1.2,60,0,16,1,77
lv-button_press_both-1.4,99,1,15,0,115
lv-button_press_both-1.5,119,1,12,0,132
lv-button_press_both-1.6,44,2,6,1,53
lv-button_press_both-1.7,39,0,5,1,45
linger-intact-0.3,20,0,5,1,26,wrongly named neutralcue run
linger-neutralcue-0.4,105,1,7,3,116
linger-interference-pause-1.0,125,0,11,1,137
linger-interference-situation-0.4,120,0,17,1,138
linger-interference-tom-0.1,124,0,14,1,139
linger-interference-geometry-0.3,131,0,44,1,176
linger-interference-story-spr-0.3,139,1,16,1,157
linger-interference-end-pause-0.2,142,0,15,0,157
linger-interference-story-spr-end-0.5,196,0,72,1,269
linger-interference-story-spr-end-0.6,92,0,34,4,130
linger-interference-story-spr-end-0.7,90,0,27,3,120
linger-interference-story-spr-end-0.8,43,0,14,0,57
linger-interference-story-spr-end-0.9,20,0,5,0,25
linger-interference-story-spr-end-continued-0.10,8,0,1,0,9
linger-fa-dark-bedroom-0.4,25,0,1,0,26
linger-fa-dark-bedroom-0.5,59,1,10,1,71
linger-multi-day-1-0.4,62,4,195,7,268
linger-multi-day-1-0.5,98,0,291,5,394
linger-multi-day-1-0.6,103,1,306,12,422
linger-multi-day-1-0.7,49,0,161,4,214
linger-multi-day-1-0.8,10,1,32,0,43
